model,brand,setting,size_used,label,rear_travel,fork_travel,f_piston,f_rotor_dim,r_piston,r_rotor_dim,head_angle,seat_angle,crank_length,stem_length,handlbar_width,reach,stack,wheelbase,chainstay_length,bb_height,standover_height
epic,specialized,na,m,xc,100,100,2,180,2,160,67.5,75.5,175,70,760,445,591,1148,433,324,766
epic evo,specialized,high,m,dc,110,120,4,180,4,160,67,74.5,175,60,760,436,597,1164,438,339,781
epic evo,specialized,low,m,dc,110,120,4,180,4,160,66.5,74.5,175,60,760,436,597,1164,438,336,781
stumpjumper,specialized,high,s4,tr,130,140,4,200,4,180,65.5,76.5,170,50,780,480,627,1228,432,340,749
stumpjumper,specialized,low,s4,tr,130,140,4,200,4,180,65,76,170,50,780,475,632,1228,432,333,749
stumpjumper evo,specialized,na,s4,tr,150,160,4,200,4,200,63,76.9,170,50,800,475,635,1247,438,340,762
enduro,specialized,high,s4,en,170,170,4,220,4,200,64.3,76,170,50,800,,,1274,442,,
enduro,specialized,low,s4,en,170,170,4,220,4,200,63.9,76,170,50,800,487,629,1274,442,347,
supercaliber,trek,na,m/l,xc,60,100,,160,,160,69,74,175,70,720,440,594,1121,430,320,760
slash,trek,high,m/l,en,160,170,4,203,4,203,64.6,76.1,,50,820,474,622,1242,435,352,749
slash,trek,low,m/l,en,160,170,4,203,4,203,64.1,75.6,,50,820,469,626,1243,437,345,743
top fuel 9.9 xx1 axs,trek,high,m/l,dc,115,120,,180,,160,68,75.5,175,60,750,461,590,1168,434,343,741
top fuel 9.9 xx1 axs,trek,low,m/l,dc,115,120,,180,,160,67.5,75,175,60,750,456,594,1168,435,337,735
fuel ex 9.9,trek,high,m/l,tr,130,140,,200,,180,66.5,75.5,175,45,780,460,609,1195,436,346,752
fuel ex 9.9,trek,low,m/l,tr,130,140,,200,,180,66,75,175,45,780,455,613,1196,437,340,746
spark rc,scott,,L,xc,100,110,,180,,160,68.5,73.8,,80,740,456.8,596.2,1158.6,435,319.5,756
spark ,scott,,L,tr,120,130,,180,,180,67.2,73.8,,70,760,460,602.4,1182.8,438,327,778
genius,scott,high,L,tr,150,150,,203,,180,65.6,75.3,,50,780,472,609.2,1230.8,436,340,749.5
genius,scott,low,L,tr,150,150,,203,,180,65,74.8,,50,780,466.1,613.7,1232.1,438,345.9,758.4
ransom,scott,,L/29,en,170,170,4,203,4,180,64.5,75,,50,800,466.5,627.6,1249.2,437.9,353,760.9
anthem advanced pro,giant,,L,xc,90,100,,180,,160,69,73.5,,80,780,454,594,1154,438,,817
trance advanced X pro,giant,high,L,tr,135,150,4,203,4,180,66.2,77.9,,50,800,494,624,1238,435,,761
trance advanced X pro,giant,low,L,tr,135,150,4,203,4,180,65.5,77.2,,50,800,486,631,1239,438,,752
reign advanced pro,giant,,L,en,146,170,4,203,4,203,64.6,76.4,,40,800,488,631,1262,439,,781
blur,santa cruz,,L,xc,100,100,,160,,160,69,74,,,750,460,598,1160,432,328,723
tallboy,santa cruz,,L,tr,120,130,,180,,180,65.7,76.4,,50,800,470,619,1211,430,335,706
hightower,santa cruz,,L,tr,145,150,,180,,180,65.5,76.8,,50,780,473,619,1231,433,344,717
megatower,santa cruz,,L,en,160,160,,200,,200,65,76.6,,,,470,625,1231,435,343,713
sb115,yeti,,M,dc,115,130,,180,,160,67.6,74.1,,50,780,430.6,613.1,1154.5,436.7,339.4,731.1
sb130,yeti,,M,tr,130,150,,200,,180,65.5,77,,50,800,460.2,614.8,1205.6,433,337.7,725.9
sb150,yeti,,M,en,150,170,,200,,200,64.5,77,,50,800,460.2,614.8,1223.2,433,347.8,727.8
cannondale,scalpel,,L,xc,100,100,,160,,160,68,74.5,,80,760,435,601,1175,436,331,745
cannondale,scalpel se,,L,dc,120,120,,160,,160,67,74,,,780,450,611,1172,436,344,758
cannondale,habit,,L,tr,130,140,,180,,180,66,74.5,,,780,460,625,1210,435,339,770
niner,rip 0 rdo,high,M,tr,140,150,,180,,180,66,75.8,,,800,440,615,1181,435,,712
niner,rip 0 rdo,low,M,tr,140,150,,180,,180,65,75.2,,,800,433,619,1182,435,,705
niner,jet 9 rdo,high,M,tr,120,130,,180,,180,66.5,76,,40,800,450,613,1179,430,,698
niner,jet 9 rdo,low,M,tr,120,130,,180,,180,66,75.5,,40,800,444,617,1180,432,,705
niner,rkt 9 rdo,,M,dc,90,120,,180,,160,70,73.5,,,780,413,617,1111,439,,739
niner,rkt 9 rdo rs, ,M,xc,90,100,,180,,160,71,74.5,,,780,424,600,1103,439,,728